,0
0,-0.3013005019011794
1,-0.3013005019011794
2,-0.3013005019011794
3,-0.3013005019011794
4,-0.3013005019011794
5,-0.3013005019011794
6,-0.3013005019011794
7,-0.3013005019011794
8,-0.3013005019011794
9,-0.3013005019011794
10,-0.3013005019011794
11,-0.3013005019011794
12,-0.3013005019011794
13,-0.3013005019011794
14,-0.3013005019011794
15,-0.3013005019011794
16,-0.3013005019011794
17,-0.3013005019011794
18,-0.3013005019011794
19,-0.3013005019011794
20,-0.3013005019011794
21,-0.3013005019011794
22,-0.3013005019011794
23,-0.3013005019011794
24,-0.3013005019011794
25,-0.3013005019011794
26,-0.3013005019011794
27,-0.3013005019011794
28,-0.3013005019011794
29,-0.3013005019011794
30,-0.3013005019011794
31,-0.3013005019011794
32,-0.3013005019011794
33,-0.3013005019011794
34,-0.3013005019011794
35,-0.3013005019011794
36,-0.3013005019011794
37,-0.3013005019011794
38,-0.3013005019011794
39,-0.3013005019011794
40,-0.3013005019011794
41,-0.3013005019011794
42,-0.3013005019011794
43,-0.3013005019011794
44,-0.3013005019011794
45,-0.3013005019011794
46,-0.3013005019011794
47,-0.3013005019011794
48,-0.3013005019011794
49,-0.3013005019011794
50,-0.5761421842712685
51,-0.5761421842712685
52,-0.5761421842712685
53,-0.5761421842712685
54,-0.5761421842712685
55,-0.5761421842712685
56,-0.5761421842712685
57,-0.5761421842712685
58,-0.5761421842712685
59,-0.5761421842712685
60,-0.5761421842712685
61,-0.5761421842712685
62,-0.5761421842712685
63,-0.5761421842712685
64,-0.5761421842712685
65,-0.5761421842712685
66,-0.5761421842712685
67,-0.5761421842712685
68,-0.5761421842712685
69,-0.5761421842712685
70,-0.5761421842712685
71,-0.5761421842712685
72,-0.5761421842712685
73,-0.5761421842712685
74,-0.5761421842712685
75,-0.5761421842712685
76,-0.5761421842712685
77,-0.5761421842712685
78,-0.5761421842712685
79,-0.5761421842712685
80,-0.5761421842712685
81,-0.5761421842712685
82,-0.5761421842712685
83,-0.5761421842712685
84,-0.5761421842712685
85,-0.5761421842712685
86,-0.5761421842712685
87,-0.5761421842712685
88,-0.5761421842712685
89,-0.5761421842712685
90,-0.5761421842712685
91,-0.5761421842712685
92,-0.5761421842712685
93,-0.5761421842712685
