#group,false,false,true,true,false,false,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string
#default,_result,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,pod
,,0,2022-05-29T03:11:14.864489485Z,2022-05-29T06:11:14.864489485Z,2022-05-29T05:10:00Z,32,cpu,kubeTopPod,query-api-app-57688bf996-5bn4l
,,0,2022-05-29T03:11:14.864489485Z,2022-05-29T06:11:14.864489485Z,2022-05-29T05:10:02Z,32,cpu,kubeTopPod,query-api-app-57688bf996-5bn4l
,,0,2022-05-29T03:11:14.864489485Z,2022-05-29T06:11:14.864489485Z,2022-05-29T05:10:03Z,32,cpu,kubeTopPod,query-api-app-57688bf996-5bn4l
,,0,2022-05-29T03:11:14.864489485Z,2022-05-29T06:11:14.864489485Z,2022-05-29T05:10:04Z,32,cpu,kubeTopPod,query-api-app-57688bf996-5bn4l
,,0,2022-05-29T03:11:14.864489485Z,2022-05-29T06:11:14.864489485Z,2022-05-29T05:10:06Z,32,cpu,kubeTopPod,query-api-app-57688bf996-5bn4l
,,0,2022-05-29T03:11:14.864489485Z,2022-05-29T06:11:14.864489485Z,2022-05-29T05:10:07Z,16,cpu,kubeTopPod,query-api-app-57688bf996-5bn4l
,,0,2022-05-29T03:11:14.864489485Z,2022-05-29T06:11:14.864489485Z,2022-05-29T05:10:09Z,16,cpu,kubeTopPod,query-api-app-57688bf996-5bn4l
,,0,2022-05-29T03:11:14.864489485Z,2022-05-29T06:11:14.864489485Z,2022-05-29T05:10:10Z,16,cpu,kubeTopPod,query-api-app-57688bf996-5bn4l
,,0,2022-05-29T03:11:14.864489485Z,2022-05-29T06:11:14.864489485Z,2022-05-29T05:10:11Z,16,cpu,kubeTopPod,query-api-app-57688bf996-5bn4l
,,0,2022-05-29T03:11:14.864489485Z,2022-05-29T06:11:14.864489485Z,2022-05-29T05:10:13Z,16,cpu,kubeTopPod,query-api-app-57688bf996-5bn4l
,,0,2022-05-29T03:11:14.864489485Z,2022-05-29T06:11:14.864489485Z,2022-05-29T05:10:14Z,16,cpu,kubeTopPod,query-api-app-57688bf996-5bn4l
,,0,2022-05-29T03:11:14.864489485Z,2022-05-29T06:11:14.864489485Z,2022-05-29T05:10:15Z,16,cpu,kubeTopPod,query-api-app-57688bf996-5bn4l
,,0,2022-05-29T03:11:14.864489485Z,2022-05-29T06:11:14.864489485Z,2022-05-29T05:10:17Z,16,cpu,kubeTopPod,query-api-app-57688bf996-5bn4l
,,0,2022-05-29T03:11:14.864489485Z,2022-05-29T06:11:14.864489485Z,2022-05-29T05:10:18Z,16,cpu,kubeTopPod,query-api-app-57688bf996-5bn4l
,,0,2022-05-29T03:11:14.864489485Z,2022-05-29T06:11:14.864489485Z,2022-05-29T05:10:19Z,16,cpu,kubeTopPod,query-api-app-57688bf996-5bn4l
,,0,2022-05-29T03:11:14.864489485Z,2022-05-29T06:11:14.864489485Z,2022-05-29T05:10:21Z,16,cpu,kubeTopPod,query-api-app-57688bf996-5bn4l
,,0,2022-05-29T03:11:14.864489485Z,2022-05-29T06:11:14.864489485Z,2022-05-29T05:10:22Z,16,cpu,kubeTopPod,query-api-app-57688bf996-5bn4l
,,0,2022-05-29T03:11:14.864489485Z,2022-05-29T06:11:14.864489485Z,2022-05-29T05:10:23Z,16,cpu,kubeTopPod,query-api-app-57688bf996-5bn4l
,,0,2022-05-29T03:11:14.864489485Z,2022-05-29T06:11:14.864489485Z,2022-05-29T05:10:25Z,16,cpu,kubeTopPod,query-api-app-57688bf996-5bn4l
,,0,2022-05-29T03:11:14.864489485Z,2022-05-29T06:11:14.864489485Z,2022-05-29T05:10:26Z,16,cpu,kubeTopPod,query-api-app-57688bf996-5bn4l
,,0,2022-05-29T03:11:14.864489485Z,2022-05-29T06:11:14.864489485Z,2022-05-29T05:10:27Z,16,cpu,kubeTopPod,query-api-app-57688bf996-5bn4l
,,0,2022-05-29T03:11:14.864489485Z,2022-05-29T06:11:14.864489485Z,2022-05-29T05:10:29Z,16,cpu,kubeTopPod,query-api-app-57688bf996-5bn4l
,,0,2022-05-29T03:11:14.864489485Z,2022-05-29T06:11:14.864489485Z,2022-05-29T05:10:30Z,16,cpu,kubeTopPod,query-api-app-57688bf996-5bn4l
,,0,2022-05-29T03:11:14.864489485Z,2022-05-29T06:11:14.864489485Z,2022-05-29T05:10:31Z,16,cpu,kubeTopPod,query-api-app-57688bf996-5bn4l
,,0,2022-05-29T03:11:14.864489485Z,2022-05-29T06:11:14.864489485Z,2022-05-29T05:10:33Z,16,cpu,kubeTopPod,query-api-app-57688bf996-5bn4l
,,0,2022-05-29T03:11:14.864489485Z,2022-05-29T06:11:14.864489485Z,2022-05-29T05:10:34Z,16,cpu,kubeTopPod,query-api-app-57688bf996-5bn4l
,,0,2022-05-29T03:11:14.864489485Z,2022-05-29T06:11:14.864489485Z,2022-05-29T05:10:36Z,16,cpu,kubeTopPod,query-api-app-57688bf996-5bn4l
,,0,2022-05-29T03:11:14.864489485Z,2022-05-29T06:11:14.864489485Z,2022-05-29T05:10:37Z,16,cpu,kubeTopPod,query-api-app-57688bf996-5bn4l
,,0,2022-05-29T03:11:14.864489485Z,2022-05-29T06:11:14.864489485Z,2022-05-29T05:10:38Z,24,cpu,kubeTopPod,query-api-app-57688bf996-5bn4l
,,0,2022-05-29T03:11:14.864489485Z,2022-05-29T06:11:14.864489485Z,2022-05-29T05:10:40Z,24,cpu,kubeTopPod,query-api-app-57688bf996-5bn4l
,,0,2022-05-29T03:11:14.864489485Z,2022-05-29T06:11:14.864489485Z,2022-05-29T05:10:41Z,24,cpu,kubeTopPod,query-api-app-57688bf996-5bn4l
,,0,2022-05-29T03:11:14.864489485Z,2022-05-29T06:11:14.864489485Z,2022-05-29T05:10:42Z,24,cpu,kubeTopPod,query-api-app-57688bf996-5bn4l
,,0,2022-05-29T03:11:14.864489485Z,2022-05-29T06:11:14.864489485Z,2022-05-29T05:10:44Z,24,cpu,kubeTopPod,query-api-app-57688bf996-5bn4l
,,0,2022-05-29T03:11:14.864489485Z,2022-05-29T06:11:14.864489485Z,2022-05-29T05:10:45Z,24,cpu,kubeTopPod,query-api-app-57688bf996-5bn4l
,,0,2022-05-29T03:11:14.864489485Z,2022-05-29T06:11:14.864489485Z,2022-05-29T05:10:46Z,24,cpu,kubeTopPod,query-api-app-57688bf996-5bn4l
